iso_time,epoch_s,board_ms,thrust_lbf,thrust_N,raw_counts
2026-09-17T15:23:34.070,1789683814.070,128642,3.4475,15.335,-339156
2026-09-17T15:23:34.474,1789683814.475,128757,3.4381,15.293,-332574
2026-09-17T15:23:34.474,1789683814.475,128873,3.4079,15.159,-330550
2026-09-17T15:23:34.475,1789683814.475,128988,3.2846,14.611,-296417
2026-09-17T15:23:34.475,1789683814.475,129103,3.0661,13.639,-268032
2026-09-17T15:23:34.878,1789683814.879,129219,2.3799,10.586,-132504
2026-09-17T15:23:34.878,1789683814.879,129334,1.0320,4.590,13494
2026-09-17T15:23:34.879,1789683814.879,129449,0.2992,1.331,57033
2026-09-17T15:23:34.879,1789683814.879,129565,0.0583,0.259,77233
2026-09-17T15:23:35.279,1789683815.279,129680,-0.0531,-0.236,79454
2026-09-17T15:23:35.279,1789683815.280,129796,-0.0214,-0.095,77035
2026-09-17T15:23:35.279,1789683815.280,129911,-0.0048,-0.022,77879
2026-09-17T15:23:35.682,1789683815.683,130026,-0.0018,-0.008,76606
2026-09-17T15:23:35.683,1789683815.683,130142,-0.0066,-0.029,75980
2026-09-17T15:23:35.683,1789683815.683,130257,-0.0216,-0.096,78522
2026-09-17T15:23:36.083,1789683816.084,130372,-0.0527,-0.235,80289
2026-09-17T15:23:36.083,1789683816.084,130488,-0.0199,-0.089,79101
2026-09-17T15:23:36.084,1789683816.084,130604,-0.0320,-0.142,80596
2026-09-17T15:23:36.084,1789683816.084,130718,-0.0340,-0.151,76802
2026-09-17T15:23:36.486,1789683816.487,130834,-0.0122,-0.054,77902
2026-09-17T15:23:36.487,1789683816.487,130950,-0.0243,-0.108,73515
2026-09-17T15:23:36.487,1789683816.487,131064,0.0311,0.138,68552
2026-09-17T15:23:36.891,1789683816.892,131180,0.0597,0.266,57544
2026-09-17T15:23:36.892,1789683816.892,131296,0.1753,0.780,54649
2026-09-17T15:23:36.892,1789683816.892,131410,0.1207,0.537,49569
2026-09-17T15:23:36.892,1789683816.892,131526,0.5051,2.247,-22437
2026-09-17T15:23:37.295,1789683817.296,131642,1.0644,4.735,-79602
2026-09-17T15:23:37.296,1789683817.296,131758,1.4905,6.630,-131344
2026-09-17T15:23:37.296,1789683817.296,131872,1.9501,8.675,-183304
2026-09-17T15:23:37.700,1789683817.701,131988,2.3105,10.277,-221410
2026-09-17T15:23:37.701,1789683817.701,132104,2.6460,11.770,-260232
2026-09-17T15:23:37.701,1789683817.701,132218,2.8998,12.899,-278977
2026-09-17T15:23:37.701,1789683817.701,132334,3.0470,13.554,-301469
2026-09-17T15:23:38.102,1789683818.102,132450,3.1882,14.182,-308276
2026-09-17T15:23:38.102,1789683818.102,132564,3.2211,14.328,-313969
2026-09-17T15:23:38.102,1789683818.103,132680,3.2280,14.359,-309721
2026-09-17T15:23:38.506,1789683818.506,132796,3.2089,14.274,-307903
2026-09-17T15:23:38.506,1789683818.507,132911,3.1750,14.123,-303074
2026-09-17T15:23:38.506,1789683818.507,133026,3.1281,13.914,-298700
2026-09-17T15:23:38.507,1789683818.507,133142,3.0820,13.710,-298609
2026-09-17T15:23:38.908,1789683818.909,133257,3.2215,14.330,-306298
2026-09-17T15:23:38.908,1789683818.909,133372,3.1240,13.896,-294009
2026-09-17T15:23:38.909,1789683818.909,133488,3.0581,13.603,-277174
2026-09-17T15:23:39.311,1789683819.311,133603,2.5186,11.203,-158864
2026-09-17T15:23:39.311,1789683819.312,133719,1.4264,6.345,-43898
2026-09-17T15:23:39.312,1789683819.312,133834,0.6199,2.758,38680
2026-09-17T15:23:39.312,1789683819.312,133949,0.1153,0.513,71656
2026-09-17T15:23:39.716,1789683819.717,134065,0.0084,0.038,74703
2026-09-17T15:23:39.716,1789683819.717,134180,0.0103,0.046,71599
2026-09-17T15:23:39.717,1789683819.717,134295,0.0401,0.179,70065
2026-09-17T15:23:40.121,1789683820.121,134411,0.0166,0.074,75008
2026-09-17T15:23:40.121,1789683820.122,134526,-0.0126,-0.056,76014
2026-09-17T15:23:40.121,1789683820.122,134641,0.0005,0.002,74649
2026-09-17T15:23:40.122,1789683820.122,134757,-0.0084,-0.038,75794
2026-09-17T15:23:40.522,1789683820.522,134873,-0.0008,-0.004,75123
2026-09-17T15:23:40.522,1789683820.523,134987,-0.0038,-0.017,76287
2026-09-17T15:23:40.523,1789683820.523,135103,-0.0190,-0.084,77837
2026-09-17T15:23:40.928,1789683820.928,135219,-0.0390,-0.173,77857
2026-09-17T15:23:40.928,1789683820.929,135334,-0.0074,-0.033,79019
2026-09-17T15:23:40.928,1789683820.929,135449,-0.0286,-0.127,78729
2026-09-17T15:23:40.929,1789683820.929,135565,-0.0096,-0.043,74428
2026-09-17T15:23:41.329,1789683821.329,135681,0.0003,0.001,75210
2026-09-17T15:23:41.329,1789683821.330,135795,-0.0081,-0.036,77326
2026-09-17T15:23:41.329,1789683821.330,135911,-0.0078,-0.035,75105
2026-09-17T15:23:41.730,1789683821.731,136027,-0.0174,-0.077,79403
2026-09-17T15:23:41.730,1789683821.731,136141,-0.0048,-0.021,71507
2026-09-17T15:23:41.731,1789683821.731,136257,0.0004,0.002,71909
2026-09-17T15:23:41.731,1789683821.731,136373,0.0522,0.232,67946
2026-09-17T15:23:42.135,1789683822.136,136487,0.0662,0.294,62473
2026-09-17T15:23:42.135,1789683822.136,136603,0.1946,0.865,43320
2026-09-17T15:23:42.136,1789683822.136,136719,0.3638,1.618,26880
2026-09-17T15:23:42.539,1789683822.539,136834,0.5000,2.224,1025
2026-09-17T15:23:42.539,1789683822.540,136949,0.6460,2.874,-6211
2026-09-17T15:23:42.539,1789683822.540,137065,0.7176,3.192,-17512
2026-09-17T15:23:42.539,1789683822.540,137180,0.7951,3.537,-24374
2026-09-17T15:23:42.940,1789683822.940,137295,0.8570,3.812,-27701
2026-09-17T15:23:42.940,1789683822.941,137411,0.9062,4.031,-43040
2026-09-17T15:23:42.940,1789683822.941,137526,1.0324,4.592,-51537
2026-09-17T15:23:42.940,1789683822.941,137641,1.0615,4.722,-53943
2026-09-17T15:23:43.342,1789683823.343,137757,1.1258,5.008,-65681
2026-09-17T15:23:43.343,1789683823.343,137872,1.2020,5.347,-73101
2026-09-17T15:23:43.343,1789683823.343,137988,1.2883,5.730,-87250
2026-09-17T15:23:43.746,1789683823.746,138103,1.3964,6.211,-95757
2026-09-17T15:23:43.746,1789683823.746,138219,1.4682,6.531,-107194
2026-09-17T15:23:43.746,1789683823.747,138334,1.5563,6.923,-116689
2026-09-17T15:23:44.149,1789683824.149,138449,1.6445,7.315,-126226
2026-09-17T15:23:44.149,1789683824.149,138565,1.7310,7.700,-137934
2026-09-17T15:23:44.149,1789683824.150,138680,1.8159,8.077,-147481
2026-09-17T15:23:44.149,1789683824.150,138796,1.9163,8.524,-160023
2026-09-17T15:23:44.553,1789683824.553,138911,2.0188,8.980,-165430
2026-09-17T15:23:44.553,1789683824.554,139026,1.9740,8.781,-155607
