# t_s, edges, edges_per_s, motor_rpm, rotor_rpm
435.311,56,1116.5,16747,2093
435.361,56,1118.5,16777,2097
435.412,55,1098.1,16471,2059
435.462,56,1115.5,16732,2092
435.512,56,1118.2,16774,2097
435.562,55,1097.2,16458,2057
435.612,56,1119.5,16792,2099
435.662,55,1099.7,16495,2062
435.712,56,1119.9,16799,2100
435.762,56,1117.2,16757,2095
435.812,55,1098.3,16475,2059
435.862,56,1117.3,16760,2095
435.912,56,1116.2,16743,2093
435.962,55,1099.8,16498,2062
436.013,56,1115.8,16738,2092
436.063,55,1097.2,16458,2057
436.113,56,1118.6,16778,2097
436.163,56,1118.9,16784,2098
436.213,55,1099.8,16497,2062
436.263,56,1117.3,16760,2095
436.313,56,1119.9,16799,2100
436.363,55,1099.5,16492,2062
436.413,56,1115.8,16737,2092
436.463,56,1117.8,16768,2096
436.513,55,1099.7,16495,2062
436.563,56,1117.9,16768,2096
436.614,56,1117.1,16756,2095
436.664,55,1099.5,16492,2062
436.714,56,1118.9,16784,2098
436.764,55,1099.4,16491,2061
436.814,56,1119.5,16792,2099
436.864,56,1117.9,16768,2096
436.914,55,1099.1,16487,2061
436.964,56,1116.2,16742,2093
437.014,56,1117.7,16765,2096
437.064,55,1096.5,16448,2056
437.114,56,1115.9,16739,2092
437.164,56,1119.6,16794,2099
437.215,55,1098.8,16482,2060
437.265,56,1117.5,16762,2095
437.315,56,1114.9,16724,2091
437.365,55,1094.0,16411,2051
437.415,56,1117.3,16759,2095
437.465,56,1119.6,16794,2099
437.515,55,1098.2,16473,2059
437.566,56,1116.9,16754,2094
437.616,56,1118.3,16775,2097
437.666,55,1099.9,16498,2062
437.716,56,1117.0,16756,2094
437.766,56,1116.5,16748,2093
437.816,55,1099.3,16489,2061
437.866,56,1117.5,16762,2095
437.916,55,1098.7,16480,2060
437.966,56,1119.7,16796,2099
438.016,56,1118.7,16781,2098
438.066,55,1097.7,16466,2058
438.116,56,1119.3,16790,2099
438.166,55,1096.2,16443,2055
438.217,56,1119.2,16788,2098
438.267,56,1114.2,16713,2089
438.317,55,1099.0,16484,2061
438.367,56,1118.4,16777,2097
438.417,56,1117.7,16765,2096
438.467,55,1098.9,16483,2060
438.517,56,1116.5,16748,2094
438.567,55,1097.6,16464,2058
438.617,56,1116.6,16749,2094
438.668,56,1118.1,16772,2096
438.718,56,1115.9,16739,2092
438.768,55,1098.9,16483,2060
438.818,56,1116.6,16749,2094
438.868,55,1098.6,16479,2060
438.918,56,1118.7,16780,2098
438.968,56,1118.9,16784,2098
439.018,56,1115.3,16730,2091
439.068,55,1100.0,16499,2062
439.118,56,1118.7,16780,2097
439.169,55,1096.2,16443,2055
439.219,56,1117.2,16757,2095
439.269,56,1117.1,16756,2094
439.319,55,1099.2,16489,2061
439.369,56,1118.2,16773,2097
439.419,56,1119.8,16797,2100
439.469,55,1096.1,16442,2055
439.519,56,1117.1,16757,2095
439.569,56,1118.7,16780,2098
439.619,55,1097.1,16457,2057
439.669,56,1118.7,16780,2098
439.720,56,1117.6,16764,2095
439.770,55,1098.4,16476,2059
439.820,56,1119.1,16786,2098
439.870,56,1116.7,16750,2094
439.920,55,1098.8,16481,2060
439.970,56,1117.3,16760,2095
440.020,56,1117.5,16763,2095
440.070,55,1097.0,16455,2057
440.120,56,1119.9,16799,2100
440.170,55,1097.2,16458,2057
440.220,56,1119.3,16789,2099
440.271,56,1116.2,16743,2093
440.321,55,1097.6,16464,2058
440.371,56,1117.7,16765,2096
440.421,56,1118.1,16771,2096
440.471,55,1099.1,16486,2061
440.521,56,1118.9,16783,2098
440.571,56,1116.4,16746,2093
440.621,55,1099.0,16484,2061
440.671,56,1119.8,16797,2100
440.721,55,1097.4,16461,2058
440.771,56,1116.9,16753,2094
440.822,56,1118.5,16778,2097
440.872,55,1096.1,16442,2055
440.922,56,1116.1,16742,2093
440.972,56,1116.8,16751,2094
441.022,56,1116.3,16744,2093
441.072,55,1096.8,16452,2057
441.123,56,1115.9,16738,2092
441.173,56,1119.9,16798,2100
441.223,55,1098.4,16477,2060
441.273,56,1116.8,16752,2094
441.323,56,1117.8,16767,2096
441.373,55,1100.0,16499,2062
441.423,56,1117.8,16768,2096
441.473,56,1117.7,16765,2096
441.523,55,1099.3,16489,2061
441.573,56,1119.1,16786,2098
441.623,55,1098.2,16473,2059
441.673,56,1117.3,16759,2095
441.723,56,1117.6,16764,2095
441.773,55,1099.4,16491,2061
441.824,56,1119.2,16789,2099
441.874,56,1118.4,16776,2097
441.924,55,1097.8,16466,2058
441.974,56,1118.9,16784,2098
